name,website,category,location,y,x,fecha,info,employees,tech,companies_partner,problem_to_solve,value_ideal_customer,status,year_,cat
PCI Geomatics,http://www.pcigeomatics.com,"Location Data Analytics, Location Intelligence, Remote Sensing, Photogrammetry, Drones, Mapping, GIS, Urban Planning","Markham, Ontario, Canada",43.853840999999996,-79.369443,January 1982,"PCI Geomatics creates and delivers geo-image software products, platforms, and solutions for demanding global customers.

PCI Geomatics is the developer of Geomatica® - a complete and integrated desktop software that features tools for remote sensing, digital photogrammetry, geospatial analysis, map production, mosaicking and more. Geomatica® software enables users to apply imagery in support of a wide range of applications such as the environment, agriculture, security and intelligence, defense, as well as in the oil and gas industries.

PCI Geomatics is also the developer of the GeoImaging Accelerator (GXL), an automated, high performance, Graphics Processor (GPU) system for processing terabytes of imagery data. PCI Geomatics is a privately held Canadian corporation headquartered in Toronto, Ontario and Gatineau, Quebec with worldwide facilities located in the United States; Arlington and Beijing, China.",-,"Mainly imagery from various sources. Aerial imagery, satellite imagery, drone imagery. We use it to test out our software (proof of concept).",-,"PCI Geomatics invests heavily in research and development to keep developing products that are needed in the market. Most recently we have implemented the first commercially available Analysis Ready Data toolset for commercial satellites, making it possible for organizations to develop deep multi-temporal image stacks and uncover new insights. Our aerial production tools have also been the focus of new product development, notably the introduction of DSM True Ortho capability with the 2018 release. We also have innovated as it relates to SAR imagery, providing tools for polarimetric analysis, Interferometry, and change detection.","Our traditional (current) typical customer is an organization that has a requirement to automate the production of large data sets on a routine basis. An example can be a national mapping agency, where thousands of images need to be used to create seamless colour balanced image mosaics. 

Going forward, our new customers will leverage our Analysis Ready Data tools and workflows to automate the creation of deep temporal data cubes that can unlock hidden insights contained in the rich archives of satellite images from multiple open source and commercial data providers. They will use our tools to perform two critical task that make rigorous science possible: super registration of data sets (geometric alignment) and radiometric normalization (to calibrate all data to surface reflectance (optical), or normalized backscatter (SAR).",Not Available,1982,"location data analytics,location intelligence,remote sensing,photogrammetry,drones,mapping,gis,urban planning"
Geographica,http://geographica.gs/,"Location Data Analytics, Location Intelligence, Location-based Marketing, Mapping, GIS, Urban Planning, Human Geography","Sevilla, Spain",37.355403,-5.982989,January 2007,"We make data count by providing solutions for companies and institutions that help them to optimize their resources by taking the correct decisions, based on relevant information. In order to achieve that, we combine the key internal indicators of the company or institution for the purpose of the solution, with external data - in both cases, historical and real time- providing a high quality information that is displayed in smart dashboards to make it easy to use and highly relevant in the decision process. 

Our key factor is the simplicity and beauty of our solutions. They allow you to visualize your key indicators geolocalized, therefore, the decision making process about what should be the next step to take become easier. 

Geographica is known for excellence in every single solution they provide or every single project we take part in. In order to achieve that, we are constantly innovating and going beyond the industry trends. We are developing projects in the 5 continents and working with clients as, Mastercard, Vodafone, Telefonica, Real Madrid, between others.",40 to 50,"PostgreSQL/PostGIS, CARTO, QGIS, GDAL, GEOS, D3.js, Leaflet, Google Maps, Luciad, Maply, WhirlyGlobe, FIWARE IoT Stack, Python, Node.js, Docker, AWS, Spark, SciPy, Python, NumPy, Pandas,Theano, TensorFlow","CARTO, SITUM y Google Maps. 
","We work in a wide range of projects and solutions based mainly in location intelligence combined with others like data mining, AI, ML and so on. Traditionally, we were more focus on Smart Cities and large institutions, such as universities, research centers and public institutions. However, we wanted to expand our know how to the business sector, therefore some years ago we started to position our business as a key solution provider for large companies in order to help them to become more productive and therefore to grow faster. 

We are driving our business towards developing solutions oriented to provide business intelligence to companies and institutions using location intelligence technologies as a base. We help them to understand better their business by explaining them with key indicators the performance of their business and what would be the predicted behaviours of those key indicators. 

Each of our projects and solutions are unique. Working from large international corporations such a Vodafone or Telefónica, to financial institutions like Mastercard, BBVA and of course big retails brands like Corte Inglés. Other clients are Real Madrid, Repsol, CEPSA, Salesforce, BCG, DHL, and much more. 

The main problem we are trying to solve is the obsolescence of data in the companies and institutions. Due to the incredibly huge amount of data produced by companies, consumers and institutions, many times, when those data are processed they are already obsolete or it is not possible to cross data from different sources due to the incompatibility of the formats. 

Our purpose is that companies become as efficient as they can, guaranteeing that they get their maximum potential by providing solutions that display the key factors for their business, geolocalized and processed in order to allows them to take the best decision and have full control of what is happening in their market. We are their strategical ali that will help them to be on top of their competitors. 

As you can see from the explanation above, Location Intelligence is the powerhouse of our business, the key element that allow us to fulfil the purpose of our business, make data count for everyone.","We have developed a prototype indoor mapping solution for El Corte Inglés, which improves the user experience while providing real-time data on consumer behavior in a closed space.

You can find more information in this link: https://geographica.gs/en/showcase/indoor-mapping-amended/

Our ideal clients are large corporations that works with huge amounts of data and therefore need our solutions in order to be able to take key decisions with enough foundation to guarantee success. Most of them work internationally and are very concerned about how to keep their positioning as a leader of the sector.",Self-Funded,2007,"location data analytics,location intelligence,location-based marketing,mapping,gis,urban planning,human geography"
FATMAP (Terrascope Ltd.),https://www.fatmap.com,"Location Data Analytics, Location Intelligence, Navigation, Mapping, GIS, Computer Vision, Augmented Reality","Berlin, Germany",52.497677,13.430632999999998,April 2013,"FATMAP helps people to discover, experience and share, better, safer outdoor experiences. 

They bring together the whole community of outdoor enthusiasts, destinations, businesses and brands to build the definitive index for the outdoors.  

Their proprietary global outdoor map platform with complete outdoor reference data for all seasons is optimised for skiing, hiking, biking and over 15 other outdoor activities. The web and mobile platform has high-resolution 3D rendering, VR support, real-time data layers and offline navigation to make it easy to use for both planning and navigation. 

Beyond the significant business potential, FATMAP believes that outdoor experiences are a profound source of pleasure and joy and that by helping more people connect with outdoor experiences and helping build stronger economies around the world’s outdoor destinations, they can help increase the value of wild places and effect a positive impact on the future of our planet.",20-30,"Digital Terrain Models
Satellite, Aerial and Drone Capture
Geographic Reference Data
GPS/GLONASS/Galileo
Mobile: iOS, Android, ReactNative
3D Rendering
Web Assembly
C++
Kubernetes
PostGIS","Digital Globe, Intermap, BlueSky, AirBus, MapBox & Outdoor Brands like Mammut, Salomon and more.","FATMAP wants to help answer every question we have about the outdoors. From discovering your next adventure, planning effectively, navigating on the trail or sharing knowledge and experience with the wider community.

In our urban lives, digital maps power many of our daily interactions and have enabled many of the major established consumer platforms from hotel booking to local business search. Far from the static maps of old, they have become global, dynamic, contextual and real-time data models that are blurring the boundaries between maps and virtual worlds. However, these maps, have been
designed with urban environments in mind and are unable to support many outdoor use cases, and this has been limiting many of the wider applications in outdoor recreation until now.  

Unlike many existing outdoor apps, rather than target a specific niche, transaction type or activity, FATMAP uses mapping technology at the centre of a strategy to develop the destination for the whole market, bringing together consumers, destinations, businesses and brands in to a multi-sided platform.

FATMAP has developed a purpose-built outdoor map platform for the non-urban world. Specifically the 3 dimensional nature of the terrain and critical safety challenges of outdoor environments need a different approach. FATMAP's mapping adapts to the season with summer/winter imagery and season specific reference data and condition information. The platform also supports full offline usage.

High resolution, accurate geographic data required for outdoor use cases is extremely costly on a global scale, so FATMAP pioneered a unique royalty-based model in partnership with the major satellite companies, similar to the way Spotify works with record labels to gain access to the huge amount of data required to build a global outdoor map.

FATMAP uses a wide range of location based data from satellite imagery, digital elevation models, reference data from a wider range of sources, live data such as weather, snow-cover, user generated routes and activity data.","FATMAP helps everyone from top adventurers like Xavier Delerue on expeditions to ride and climb new lines in the most adventurous locations on the planet through to people wanting to build confidence to ski their first red run or go for a walk in the countryside.  

We tested the technology on an expedition to Greenland to ski new lines. The film was selected for Kendal Mountain Film Festival: https://vimeo.com/190913296

We supported Salomon and Liv Sansoz on her quest to climb every 4000m peak in one year.

And we have helped outdoor destinations like Les 3 Vallees, Alpe d'Huez and many more represent themselves and attract more visitors.

Our ideal customer is anyone on the planet who wants to disconnect and spend time enjoying the great outdoors.","Angel investors, Series A",2013,"location data analytics,location intelligence,navigation,mapping,gis,computer vision,augmented reality"
PrecisionHawk,https://www.precisionhawk.com/,"Drone, Mapping, GIS, Location Intelligence","Rayleigh, North Carolina, USA",35.89676400000001,-78.65196,2011,"PrecisionHawk is dedicated to changing the 
way businesses view their assets and manage resources. To extract the 
true commercial value of drones, we must continue to advance a 
multifaceted technology that includes advanced robotics, robust 
software, and rich data.",101 to 250,-,-,-,-,Series D,2011,"drones,mapping,gis,location intelligence"
SmartMonkey,SmartMonkey.io,"Location Data Analytics, Location Intelligence","Barcelona, Spain",,,July 2015,We analyze geospatial and business data to generate suggest operational improvements and better strategic decisions.,5 to 10,-,-,"We're solving the problem of companies with a outdated and useless master data of clients or points of interest. With our technology they can have all this information autonomously cleaned and updated without adding a new process, just analyzing the data they are currently generating.","Our customer is a company with field operations that has an important number of locations to visit with several employees that visit this locations. Their problem is how to manage geospatial knowledge in a big corporation. Experienced field employees has a lot of knowledge of where are the points of interest, but they don't usually share it, or doesn't have the tool to maintain updated this information. Our ideal customer is someone who wants to keep updated their database to use it for multiple purposes inside the company.","Funded by an accelerator program, Angel investors",2015,"location data analytics,location intelligence"
Boundlessgeo (part of Planet),https://boundlessgeo.com/,"Location Data Analytics, Location Intelligence, Mapping, GIS, Urban Planning, Human Geography","St. Louis, Missouri, USA",38.645465,-90.18905699999999,November 2012,"Boundless provides product support, training, and core development to 
meet your geospatial requirements. By providing the first open GIS 
ecosystem—a commercially-supported open source platform and family of 
powerful products—Boundless is unlocking the full value of 
location-based data. ",90 to 100,"The Boundless platform is built on a variety of open source applications from the Free and Open Source Software for Geospatial community, including GDAL, GeoTools, GeoServer, QGIS, GeoNode, GeoGig, and more.  We develop our software to be cross platform and leverage React and Redux to make apps work on web and mobile devices, and leverage QT to ensure our desktop software works on Linux, Mac and Windows.","Boundless partners include Mapbox, DigitalGlobe, AWS, New Light Technologies, CCRI, Harris Corporation, Leidos, Lockheed Martin, Safegraph, Crunchy Data and several others.","The problem organizations face is that up to 80 percent of location data delivers no business value, as the data locked in existing systems can be expensive and time-consuming to access. Most legacy GIS solutions are built on proprietary, outdated technology, which is hard to scale, costly to use, and unable to keep pace with today’s cloud-based, mobile, and containerized technologies. 

Boundless, in response, provides an ecosystem of geospatial software, analytics, tools, data resources, and learning materials for business analysts, GIS professionals, and GIS developers. The Boundless ecosystem is built on open source technology and open APIs that generate actionable location intelligence across third-party apps, content services, and plugins for enterprise applications. Boundless works with data where it currently sits, leveraging existing workflows and allowing customers to dynamically respond to changes in real time. Because Boundless leverages assets from and is an active participant in the Free and Open Source Software for Geospatial community, potential issues are identified and resolved faster than proprietary offerings. Unlike the costly licensing models of proprietary systems, Boundless reduces the barriers and costs of scaling innovation, allowing customers to start projects, in some cases, for less than the cost of a monthly Netflix subscription.","The Louisiana Department of Health and Hospitals (DHH) is charged with protecting and promoting the health of residents, including ensuring adequate medical facilities are available to citizens in the event of a severe storm that results in widespread, dangerous flooding. In order to better anticipate how to direct people at hospitals and other healthcare facilities during a flood event, DHH works to identify those facilities most at risk for flooding and damage so that evacuation procedures can begin with as much advance notice as possible.

In 2005, storm surge from Hurricane Katrina contributed to the deaths of 35 nursing home residents who were not evacuated. The devastating Hurricane Katrina had shown Louisiana -- and the world -- how modern infrastructure could fail utterly. Since then, Henry Yennie, Program Manager for Emergency Preparedness at the Louisiana Department of Health and Hospitals (DHH), and his department have sought software that would enable better preparedness while being affordable on a federal budget. Additionally, Yennie and his department were looking for a solution that didn't require users to become GIS software experts and could be pushed out for planning at both state and local levels. 

DHH uses a system known as GeoSHAPE to assist in generating this valuable visual information. GeoSHAPE — Geospatial capabilities for Security, Humanitarian Assistance, Partner Engagement — is an open-source project designed to enable collaboration on geospatial information. With support from Boundless, a St. Louis-based open and scalable GIS software provider, GeoSHAPE enables both federal and Louisiana state authorities to work together to overlay storm and flooding data over facility map information. Here, the Boundless-supported GIS software, Boundless Exchange, which Yennie’s team implemented as a web service running in users’ browsers, fit the bill precisely.

Boundless Exchange is the foundation of database decision making for DHH as they are now able to take most impacted areas, bring in census data and operational status data and other information into a map, making it useful and dynamic tool. For example, in August 2016, heavy rains — up to two feet over four days in some parts of Louisiana — caused rivers to rise to record levels. DHH was able to identify the hospitals and other facilities in the path of the flood. Aside from rising water, factors such as high temperatures and humidity can also provide cause to evacuate a facility. Hospitals might be able to provide medical necessities on generator power, but will likely be without air conditioning. Maps of affected areas that also display weather information provide an instant visual picture of the situation and allow DHH to focus on high-risk areas.

A grim aftereffect of major flooding — one that’s somewhat specific to the state of Louisiana, where many bury loved ones in above-ground vaults and tombs — is the tendency of caskets to become displaced. While the structures appear sturdy, they’re no match for flood waters and storm surges. Among the tasks the mapping software effort has taken up since Boundless was first used in the department is pinpointing grave disruptions caused by the flooding. 

Also of high importance to the agency was the learning curve involved. In an emergency, the more people who can provide the visualization of location-based information, the better. The ability to construct the maps, without an expert, in a sustainable way is imperative. With support from Boundless Exchange, GeoSHAPE allows DHH emergency preparedness plans to become action in a faster, more efficient manner. When something happens leading up to a hurricane or storm, DHH needs to know how many hospitals and nursing homes are vulnerable and this type of information is best communicated visually. GeoSHAPE is part of the effort to avoid such incidents in the future by providing a visual picture of areas that will be affected by severe flooding. Boundless has given DHH a cost-effective way of getting that data and visualizing it. 

As vital as DHH’s mission is to the citizens of Louisiana, particularly those most vulnerable to severe weather events, the realities of finance still play a role in how this important work gets accomplished. DHH maximized the agency’s investment by selecting an open source project, which allows them to work within budget constraints while still providing vital services. Despite having a high number of emergency incidents that require a state response, there is still very little funding for public health and Boundless’ solutions allow DHH to operate in a cost-effective manner as federal funds are constantly shrinking.

As demonstrated above, the ideal Boundless customer experience is any government agency or commercial enterprise that needs flexibility in the development of their GIS ecosystems and the proper tools to unlock the value of their location-based data, especially those constrained by various financial or systematic requirements, or hindered by their outdated systems. Boundless allows customers to massively scale their infrastructure, bring on more data scientists, and generally get more output from their existing systems and provides the insights and tools for new customers to leverage location data for their specific needs. 

For example, precision agriculture, which aims to uncover more efficient ways to farm and increase crop yield, relies on GPS data to help farmers make informed decisions on seed choice, crop location, and water and fertilizer level. Open source GIS solutions let farmers leverage their location-based data to gain insight without risking unpredictable software costs and frees up valuable resources and increase productivity for farmers. Countless government operations, both local and federal, include location components for which GIS can aid in better planning and decision-making in areas including emergency management, reporting, engineering design, permit tracking, land use planning, and subdivision review. GIS simplifies government operations by identifying significant patterns and relationships within location data and displaying findings in an easy-to-understand map. Transportation logistics present complicated challenges that can be solved with analysis of location-based data. Whether it’s a municipal government conceiving optimal bus and light rail routes, a hospital that wants to provide patients with the fastest route to their facilities at a particular moment, or an oil company planning its pipeline locations, the analysis of location-based data is vital in making informed business decisions. In construction, choosing the appropriate facility site is a highly strategic process that can negatively affect businesses if certain factors aren’t taken into account. Whether the project is a hospital, retail store, or law office, a multitude of location-based data points regarding the population, weather, regulations, and even traffic patterns needs to be analyzed. Open source GIS software is an affordable way to gather, process, and make sense of the layers of data that affect site selection. 

No matter the industry, Boundless provides an ecosystem of geospatial software, analytics, tools, data resources, and learning materials to make better business decisions with geospatial platforms in any location, from the desktop, the web, the cloud, or a mobile device.",Acquired,2012,"location data analytics,location intelligence,mapping,gis,urban planning,human geography"
CityMapper,https://citymapper.com,"Navigation, Apps","London, UK",51.507713,-0.10769100000000001,2011,Cities are complicated. We use the power of mobile and open transport data to help humans survive and master them. We’re also reinventing shared transport for the smart city era.,11 to 50,-,-,-,-,Series B,2011,"navigation,apps"
DroneDeploy,https://www.dronedeploy.com,"Drone, Mapping, GIS, Location Intelligence","San Francisco, California, USA",37.771806,-122.407389,2013,"DroneDeploy is a provider of cloud-control software solutions for drones which include automated flight safety checks, workflows, and real-time mapping and data processing.",51 to 100,-,DJI,-,-,Series C,2013,"drones,mapping,gis,location intelligence"
Street Light Data,https://www.streetlightdata.com/,"Mobility, Location Data Analytics, Location Intelligence","San Francisco, California, USA",37.782879,-122.39664099999999,May 2011,"At StreetLight Data, we bring real-world travel patterns to light. Just as streetlights illuminate our roadways at night, StreetLight Data creates analytics that shine a light on mobility behavior.  We aim to transform transportation and urban planning with the power of data. With our StreetLight InSight® analytics platform, the transportation industry can design public spaces and transportation networks that are more efficient, sustainable, and safe.",11 to 50,-,-,-,-,Series C,2011,"mobility,location data analytics,location intelligence"
Uber,https://www.uber.com,"Navigation, Mapping, GIS, Apps","San Francisco, California, USA",37.775728,-122.417949,March 2009,"Uber develops, markets, and operates a ridesharing mobile application which allows consumers to submit a trip request that is routed to crowd-sourced partner drivers. Its smartphone application connects drivers with people who need a ride. Its application enables users to arrange and schedule transportation and/or logistics services with third-party providers.",5001 to 10000,-,-,-,-,Debt Financing ,2009,"navigation,mapping,gis,apps"
BuildingFootprintUSA,https://www.buildingfootprintusa.com/,"Location Data Analytics, Location Intelligence, Location-based Marketing, Mapping, GIS, Urban Planning, Insurance underwriting/catastrophe modeling/flood certification; Telco infrastructure planning","Albany, New York, USA",42.681818,-73.848512,March 2016,"BFUSA Story - Founded in 2016 by an experienced team of GIS/mapping data and technology experts, BFUSA researches, identifies and qualifies sources of building footprint data. We are experts at building processes that blend and harmonize hundreds of data sources into a single, useful product that you can trust for solving your business problem.

Coverage - Building footprint data is available for the US and Canada. We have coverage for approximately 70% of the US population, and for over 50% of the Canadian population.",5 to 10,"Esri ArcGIS, Java, Python, PostGres","Esri, Korem, Here","BFUSA Mission - Create an affordable spatial/vector layer of nationwide building footprints for building-level location, analysis and visualization. We believe building footprints or their derivatives will displace 75% of address point and parcel boundary usage as the primary ingredient for locating, analyzing and visualizing address information by the end of 2019. ","Ideal customer understands that absolute accuracy and precision of location data is critical for important decisions like flood certification, property underwriting, 5G network and infrastructure planning",Self-Funded,2016,"location data analytics,location intelligence,location-based marketing,mapping,gis,urban planning,insurance underwriting/catastrophe modeling/flood certification,telco infrastructure planning"
Here,https://www.here.com,"Location Data Analytics, Location Intelligence, Navigation, Location-based Marketing, Remote Sensing, Photogrammetry, Drones, Mapping, GIS, Computer Vision, Augmented Reality, Blockchain, Decentralization, Internet Of Things, Urban Planning, Human Geography, Autonomous Driving","Berlin, Germany",52.531036,13.384958,January 1985,"HERE Technologies, the Open Location Platform company, enables people, businesses and cities to harness the power of location. By making sense of the world through the lens of location we empower our customers to achieve better outcomes – from helping a city manage its infrastructure or a business optimize its assets to guiding drivers to their destination safely. To learn more about HERE, including our new generation of cloud-based location platform services, visit https://360.here.com/ and https://www.here.com/.",8500 to 9000,-,"We collaborate with some of the world's most respected companies to develop new solutions that shape the future of location technology. You can learn more about our most strategic partners, please visit https://www.here.com/en/partners/find-partner/strategic-alliances","HERE Technologies is enabling the Autonomous World for everyone.
HERE Technologies is inspired by the concept of a new digital era. An era that sees man and technology come together in unprecedented ways to empower every aspect of our surroundings. An era that realizes new potentials for businesses, society and humanity. The era of the Autonomous World.
For over 30 years, HERE has been a leader in mapping and location. We have now evolved into a location platform company that helps makes sense of and creates value from our new technological landscape.
Our products and technologies are powered by location intelligence from the HERE Open Location Platform and draw on our powerful digital geospatial model, the Reality Index, to enable new opportunities. Our key themes that feed in to our central vision of the Autonomous World are: on the move; in the car; in the supply chain; in the workplace; and in the city.","We collaborate with some of the world's most respected companies to develop new solutions that shape the future of location technology. You can learn more about our most strategic partners, please visit https://www.here.com/en/partners/find-partner/strategic-alliances",Private Equity,1985,"location data analytics,location intelligence,navigation,location-based marketing,remote sensing,photogrammetry,drones,mapping,gis,computer vision,augmented reality,blockchain,decentralization,internet of things,urban planning,human geography,autonomous driving"
Mapbox,https://www.mapbox.com/,"Location Data Analytics, Location Intelligence, Navigation, Drones, Mapping, GIS, Computer Vision, Augmented Reality, Internet Of Things, Urban Planning, Autonomous Driving","Washington, D.C, USA",38.900084,-77.03397199999998,August 2010,"Mapbox is the live location platform for over 1.2 million developers. Mapbox provides a global map, real-time traffic, location search and navigation via our APIs and SDKs, reaching over 420 million users per month. Our services power industry leaders, including Bosch, CNN, Facebook, General Electric, IBM, Instacart, Lonely Planet, Snapchat, Tableau, Tinder, and The Weather Channel. Mapbox is the foundation for other platforms, letting enterprises analyze their data, drone companies publish flyovers, friends find each other, real estate sites visualize properties, satellite companies process cloud-free imagery, and insurance companies track assets. Founded in 2010, Mapbox has over 425 employees with offices in San Francisco, Washington, D.C., Berlin, Helsinki, Minsk and Shanghai.",400 to 450,"Mapbox uses everything from AWS’ cloud infrastructure, to Docker containers, to GitHub for collaborative product building.","Mapbox is partnered with dozens of the biggest industry names, from FourSquare to Microsoft to Amazon Web Services.","Location data is core to the future of mobility, automation, urban planning, and more. Mapbox is a live location data and mapping platform. The platform applications today reach more than 420M+ users per month. Like plumbing or roads, location data will move humans and machines into the future. Built on an open platform and values, the Mapbox community is democratizing mapping. Mapbox customers span many industries and include industry leaders Adobe, Bloomberg, Bosch, CNN, Facebook, General Electric, General Motors, Grubhub, IBM, Instacart, Mastercard, Metromile, Microstrategy, Snapchat, Square, Tableau, Tinder, The Weather Channel and Uber.  

Mapbox has changed the model for how over a million developers now think about location. By creating a live location platform, Mapbox has enabled developers and companies to create experiences and services where the image of a map is not the only core output. Mapbox powers new services such as enhanced data analytics in business intelligence, autonomous vehicles, enhanced global logistics, smart cities and yet to be created highly personalized services. The opportunity for growth is enormous as nearly every industry vertical will benefit. 

Mapbox continues to build out a strong team of industry leaders and experts from the likes of Apple, AWS, Google, Tableau, Tesla, Twilio, Uber and other major tech leaders. With a strong focus on customer success, innovation and operational excellence, Mapbox is aggressively forging into new areas such as automotive, transportation, logistics and augmented reality.","Our platform is designed to serve any other platform, application, or website that requires a location component. We enable insurance companies to track assets, enterprises to visualize data, drone companies to publish flyovers, satellite companies to process cloud-free imagery, car companies to embed state-of-the-art navigation, and so much more.",Series C,2010,"location data analytics,location intelligence,navigation,drones,mapping,gis,computer vision,augmented reality,internet of things,urban planning,autonomous driving"
Pitney Bowes,https://www.pitneybowes.com/,Location Intelligence,"Stamford, Connecticut, USA",41.070791,-73.548585,April 1920,"Pitney Bowes is a global technology company that powers physical and 
digital transactions that drive commerce. It offers products and 
solutions that enable commerce in the areas of shipping and mailing, 
customer information management, location intelligence, customer 
engagement, and global e-commerce.",10000 to 11000,-,-,-,-,IPO,1920,location intelligence
Telenav,https://www.telenav.com/,"Location Data Analytics, Location Intelligence, Navigation, Location-based Marketing, Mapping, GIS","Santa Clara, California, USA",37.398115999999995,-121.97748500000002,September 1999,"At Telenav, we've always been about making people's lives less stressful, more productive, and more fun when they are on the go. We started on this mission in 1999 when we pioneered GPS navigation for mobile phones and changed how people get from point A to point B. Over the years, we have paved the way for a bigger end-to-end mobility transformation for all people on the go — starting with connected car solutions for drivers. Today, Telenav is a leading provider of connected car and location-based services, focused on transforming life on the go for people - before, during, and after every drive. Leveraging our location platform, we enable our customers to deliver custom connected car and mobile experiences. Fortune 500 advertisers and local advertisers can now reach millions of users with Telenav’s highly-targeted advertising platform.",750 to 1000,"We use location-based technologies, including GPS, AI, machine learning.","NASA, World Bank, UNICEF, Humanitarian OpenStreetMap Team, Physicians for Human Rights, Bloomberg, Radiant.Earth, Radiant Solutions/DigitalGlobe, Mapbox, World Resource Institute, Mercy Corps, Tellus Labs, etc.","TransCAD and TransModeler are the best applications worldwide in their category and are relied upon by thousands of transportation planners and traffic engineers in more than 70 countries. Billions of dollars of public investment in transportation infrastructure have been guided by the analysis enabled by these products for transportation professionals.

Maptitude is the most effective solution for business mapping combining ease of use, broad functionality, and valuable data sets the value of which alone greatly exceeds the price of the software. With the lowest price for a professional mapping application, Maptitude provides unlimited geocoding, flexible pin mapping, drive time bands, and a variety of route planning and territory tools that meet the varied needs of organizations, at an affordable price for even the smallest businesses.",Our clients are B2B customer who are car manufacturers.,IPO,1999,"location data analytics,location intelligence,navigation,location-based marketing,mapping,gis"
TomTom,http://www.tomtom.com,"Location Data Analytics, Location Intelligence, Navigation, Mapping, GIS","Amsterdam, Netherlands",52.376421,4.908113,January 1991,"TomTom created the easy-to-use navigation device, one of the most influential inventions of all time. Since then, we have grown from a start-up, into a global technology company.

Our software and navigation technologies power over hundreds of millions of applications across the globe. This includes industry-leading location-based products and mapmaking technologies, embedded automotive navigation solutions; innovative personal navigation devices and apps, and advanced telematics fleet management and connected car services.

We continue to shape the future, leading the way with autonomous driving, smart mobility and smarter cities.",5000 to 6000,-,"Bosch, Qualcomm, Baidu, etc.","We believe in a safe, connected and autonomous mobility, free of congestion and emissions. And we build the data sets (maps, traffic) and software components that enable that!","From the small developer with a crazy idea to the largest car manufacturers, we strive to make location technology accessible to all. We are the mapping partner to anyone that wants to add location and navigation to their solutions.",IPO,1991,"location data analytics,location intelligence,navigation,mapping,gis"
Trimble,https://www.trimble.com/,"Surveying, Mapping, GIS, Transportation, Asset Tracking, Agriculture, Navigation, Location Intelligence ","Sunnyvale, California, USA",37.385,-122.00549299999999,November 1978,"Trimble applies technology to make field and mobile workers in businesses and government significantly more productive. Solutions are focused on applications requiring position or location—including surveying, construction, agriculture, fleet and asset management, public safety and mapping. In addition to utilizing positioning technologies, such as GPS, lasers and optics, Trimble solutions may include software content specific to the needs of the user. Wireless technologies are utilized to deliver the solution to the user and to ensure a tight coupling of the field and the back office. ",5001 to 10000,-,-,-,-,IPO,1978,"surveying,mapping,gis,transportation,asset tracking,agriculture,navigation,location intelligence"
DigitalGlobe (part of Maxar Technologies),http://www.digitalglobe.com/,"Remote Sensing, Photogrammetry","Westminster, Colorado, USA",39.912592,-105.001826,1992,"DigitalGlobe is commercial earth imagery content provider that offers high-resolution images, information, and services; sourced using its own satellite constellation and aerial network. The organization owns and operates several commercial earth imaging satellites, including IKONOS, QuickBird, WorldView-1, GeoEye-1, WorldView-2, and WorldView-3.",5001 to 10000,-,-,-,-,Acquired,1992,"remote sensing,photogrammetry"
Planet Labs,https://www.planet.com/,"Remote Sensing, Photogrammetry","San Francisco, California, USA",37.783608,-122.395921,December 2010,"Our mission is to image the entire Earth every day and make global change visible, accessible, and actionable.",400 to 500,-,-,-,-,Private Equity,2010,"remote sensing,photogrammetry"
Boni,https://www.boniglobal.com/,"Indoor Mapping, Navigation","Istanbul, Turkey",41.108388,29.034398,September 2011,"Boni - well-known in the field of geomatics technologies, indoor wayfinding and localization services - brings lots of experience about map making and navigation from previous applications.
Boni provides indoor positioning solutions for everyone including owners, residents or visitors. Digital Map Design, Location Based Analytics for Venues and Indoor Navigation including Accessibility Solutions are just a few of them.

",11 to 50,-,-,-,-,Seed,2011,"indoor mapping,navigation"
Hexagon,https://hexagon.com,"Location Data Analytics, Location Intelligence, Navigation, Location-based Marketing, Remote Sensing, Photogrammetry, Drones, Mapping, GIS, Computer Vision, Augmented Reality, Blockchain, Decentralization, Internet Of Things, Urban Planning, Human Geography, Autonomous Driving","Stockholm, Sweden",59.335354,18.051235000000002,1992,"Hexagon is a global leader in digital solutions that create Autonomous Connected Ecosystems (ACE), a state where data is connected seamlessly through the convergence of the physical world with the digital, and intelligence is built-in to all processes.",10000 to 11000,-,-,-,-,IPO,1992,"location data analytics,location intelligence,navigation,location-based marketing,remote sensing,photogrammetry,drones,mapping,gis,computer vision,augmented reality,blockchain,decentralization,internet of things,urban planning,human geography,autonomous driving"
